date,Real Middle Band,Real Lower Band,Real Upper Band
2018-03-22 11:08,90.7239,90.6329,90.815
2018-03-22 11:09,90.7205,90.6398,90.8012
2018-03-22 11:10,90.7225,90.6353,90.8097
2018-03-22 11:11,90.7345,90.6225,90.8465
2018-03-22 11:12,90.732,90.6217,90.8423
2018-03-22 11:13,90.742,90.6362,90.8478
2018-03-22 11:14,90.743,90.6371,90.8489
2018-03-22 11:15,90.747,90.6433,90.8507
2018-03-22 11:16,90.754,90.6635,90.8445
2018-03-22 11:17,90.7605,90.6892,90.8318
2018-03-22 11:18,90.773,90.6977,90.8483
2018-03-22 11:19,90.774,90.6987,90.8493
2018-03-22 11:20,90.778,90.6938,90.8622
2018-03-22 11:21,90.772,90.6985,90.8455
2018-03-22 11:22,90.7695,90.6903,90.8487
2018-03-22 11:23,90.7345,90.5135,90.9555
2018-03-22 11:24,90.7135,90.4643,90.9627
2018-03-22 11:25,90.696,90.4352,90.9568
2018-03-22 11:26,90.679,90.4099,90.9481
2018-03-22 11:27,90.659,90.3785,90.9395
2018-03-22 11:28,90.6185,90.3344,90.9026
2018-03-22 11:29,90.579,90.286,90.872
2018-03-22 11:30,90.5375,90.2901,90.7849
2018-03-22 11:31,90.5005,90.3038,90.6972
2018-03-22 11:32,90.459,90.2873,90.6307
2018-03-22 11:33,90.4384,90.2141,90.6627
2018-03-22 11:34,90.4154,90.1904,90.6405
2018-03-22 11:35,90.3869,90.1783,90.5955
2018-03-22 11:36,90.3559,90.1751,90.5368
2018-03-22 11:37,90.3279,90.1798,90.4761
2018-03-22 11:38,90.3104,90.1738,90.4471
2018-03-22 11:39,90.2909,90.1469,90.4349
2018-03-22 11:40,90.2714,90.1552,90.3877
2018-03-22 11:41,90.2464,90.1553,90.3375
2018-03-22 11:42,90.2334,90.1396,90.3273
2018-03-22 11:43,90.2235,90.1074,90.3396
2018-03-22 11:44,90.2125,90.1114,90.3136
2018-03-22 11:45,90.209,90.1168,90.3012
2018-03-22 11:46,90.203,90.1173,90.2887
2018-03-22 11:47,90.21,90.1016,90.3184
2018-03-22 11:48,90.2145,90.0958,90.3332
2018-03-22 11:49,90.2315,90.086,90.377
2018-03-22 11:50,90.2393,90.0868,90.3919
2018-03-22 11:51,90.2543,90.1065,90.4021
2018-03-22 11:52,90.2693,90.1285,90.4101
2018-03-22 11:53,90.3023,90.1623,90.4424
2018-03-22 11:54,90.3303,90.1725,90.4882
2018-03-22 11:55,90.3573,90.1707,90.5438
2018-03-22 11:56,90.3883,90.2139,90.5626
2018-03-22 11:57,90.4093,90.2226,90.5959
2018-03-22 11:58,90.4293,90.2511,90.6074
2018-03-22 11:59,90.4363,90.2641,90.6084
2018-03-22 12:00,90.4454,90.293,90.5979
2018-03-22 12:01,90.4464,90.2974,90.5954
2018-03-22 12:02,90.4554,90.3289,90.582
2018-03-22 12:03,90.4404,90.283,90.5978
2018-03-22 12:04,90.4324,90.2758,90.5891
2018-03-22 12:05,90.436,90.2698,90.6022
2018-03-22 12:06,90.437,90.2689,90.6051
2018-03-22 12:07,90.442,90.2607,90.6233
2018-03-22 12:08,90.443,90.2603,90.6257
2018-03-22 12:09,90.4485,90.2644,90.6326
2018-03-22 12:10,90.4545,90.2732,90.6358
